x,y,heading,curvature
0.0482,3.6800,1.298209,0.067285
0.0831,3.8050,1.306963,0.029018
0.1157,3.9300,1.306123,-0.048380
0.1848,4.1800,1.292497,-0.077632
0.2586,4.4300,1.262145,-0.313031
0.3419,4.6729,1.120422,-0.830971
0.4681,4.8633,0.840031,-1.464928
0.6300,4.9943,0.501604,-1.606094
0.8371,5.0657,0.188222,-0.990910
1.0800,5.0800,0.028977,-0.358382
1.3300,5.0800,0.000000,-0.057143
1.5800,5.0800,0.000000,-0.095238
1.8300,5.0800,-0.047583,-0.428474
2.0800,5.0562,-0.214061,-0.809215
2.3229,4.9729,-0.455366,-0.939022
2.5419,4.8300,-0.694738,-0.806092
2.7371,4.6276,-0.890275,-0.545504
2.9062,4.3800,-1.024767,-0.400642
3.0395,4.1300,-1.130266,-0.376873
3.1419,3.8800,-1.232002,-0.415494
3.2157,3.6300,-1.350615,-0.451378
3.2538,3.3800,-1.461707,-0.336779
3.2705,3.1300,-1.518463,-0.180210
3.2800,2.8800,-1.551751,-0.104705
3.2800,2.6300,-1.570796,-0.038095
3.2800,2.3800,-1.570796,0.000000
3.2800,2.1300,-1.570796,0.000000
3.2800,1.8800,-1.570796,0.000000
3.2800,1.6300,-1.570796,-0.028571
3.2800,1.3800,-1.585081,-0.076167
3.2729,1.1300,-1.608873,-0.066522
3.2610,0.8800,-1.618379,-0.018983
3.2490,0.6300,-1.618379,0.018983
3.2371,0.3800,-1.608873,0.019006
3.2300,0.1300,-1.608873,-0.019006
3.2181,-0.1200,-1.618379,-0.056949
3.2062,-0.3700,-1.637364,-0.276251
3.1848,-0.6200,-1.757019,-0.672320
3.1133,-0.8629,-1.989530,-1.151035
2.9919,-1.0533,-2.321725,-1.643518
2.8133,-1.1843,-2.684905,-1.388276
2.5800,-1.2557,-2.966078,-0.842191
2.3300,-1.2700,-3.117788,-0.401246
2.0800,-1.2676,3.113029,-0.142682
1.8300,-1.2557,3.094010,-0.037966
1.5800,-1.2438,3.094010,0.000000
1.3300,-1.2319,3.094010,0.047458
1.0800,-1.2200,3.117788,0.057094
0.8300,-1.2200,3.122547,-0.038075
0.5800,-1.2105,3.098762,-0.056986
0.3300,-1.1986,3.094010,-0.009492
0.0800,-1.1867,3.094010,0.009492
-0.1700,-1.1748,3.098762,0.009498
-0.4200,-1.1652,3.098762,-0.009498
-0.6700,-1.1533,3.094010,-0.009492
-0.9200,-1.1414,3.094010,0.009492
-1.1700,-1.1295,3.098762,0.056986
-1.4200,-1.1200,3.122547,0.057112
-1.6700,-1.1200,3.127308,-0.038084
-1.9200,-1.1129,3.103516,-0.066522
-2.1700,-1.1010,3.094010,-0.018983
-2.4200,-1.0890,3.094010,0.028475
-2.6700,-1.0771,3.108272,0.123603
-2.9200,-1.0724,-3.127308,0.258696
-3.1700,-1.0843,-3.040924,0.384536
-3.3914,-1.1200,-2.933793,0.201713
-3.5652,-1.1676,-2.990091,-1.345467
-3.7033,-1.1676,2.882092,-3.462013
-3.8343,-1.0962,2.450442,-2.074570
-3.9652,-0.9510,2.180255,-0.801293
-4.0986,-0.7176,2.030476,-0.513121
-4.2033,-0.4700,1.878055,-0.792660
-4.2557,-0.2224,1.570796,-1.587902
-4.2033,-0.0319,1.093904,-3.468094
-4.1081,0.0633,0.321751,-9.179032
-3.9890,0.0395,-0.550676,-3.374309
-3.8367,-0.1033,-0.941213,-1.058867
-3.7271,-0.3200,-1.127235,-0.085178
-3.6319,-0.5343,-0.896055,3.747746
-3.5557,-0.5343,0.756280,15.493642
-3.5057,-0.4152,1.303980,1.401785
-3.4581,-0.1771,1.475090,0.363435
-3.4486,0.1800,1.591455,0.554262
-3.4700,0.3990,1.927165,2.695743
-3.5700,0.5062,2.562186,3.289133
-3.6629,0.5252,2.366503,-7.093903
-3.6867,0.6205,1.508378,-6.022677
-3.6510,0.7157,1.156916,-0.484157
-3.5748,0.8752,1.218061,0.412821
-3.4914,1.1490,1.368475,0.615802
-3.4795,1.3395,1.546411,0.667071
-3.4819,1.5395,1.587011,-0.020622
-3.4867,1.7800,1.546529,-0.162104
-3.4700,2.0300,1.504228,-0.063702
-3.4533,2.2800,1.513716,0.009477
-3.4414,2.5300,1.508970,-0.047347
-3.4224,2.7800,1.490020,-0.018862
-3.4010,3.0300,1.499489,0.016877
-3.3867,3.2800,1.498459,0.033263
-3.3652,3.5229,1.516395,0.264964
