x,y,heading,curvature
0.3900,-0.6056,0.146012,14.538483
0.4400,-0.5983,0.109770,-0.869419
0.4900,-0.5946,0.040083,-1.327318
0.5400,-0.5943,-0.022836,-1.186306
0.5900,-0.5969,-0.078459,-1.034343
0.6400,-0.6021,-0.126556,-0.879224
0.6900,-0.6096,-0.167113,-0.443082
0.7400,-0.6190,-0.171740,0.016436
0.7900,-0.6270,-0.165442,-0.576093
0.8400,-0.6357,-0.229375,-1.207601
0.8900,-0.6503,-0.289380,-1.071583
0.9400,-0.6655,-0.341303,-1.162352
0.9900,-0.6858,-0.411698,-0.633858
1.0400,-0.7091,-0.412458,0.379240
1.0900,-0.7296,-0.369537,-0.106400
1.1400,-0.7479,-0.423418,-1.296099
1.1900,-0.7747,-0.509247,-0.602344
1.2400,-0.8037,-0.496044,0.403221
1.2900,-0.8288,-0.462923,0.317642
1.3400,-0.8536,-0.461110,-0.000000
1.3900,-0.8785,-0.462923,0.431085
1.4400,-0.9035,-0.411698,0.961236
1.4900,-0.9221,-0.358076,0.324106
1.5400,-0.9410,-0.377413,-0.376209
1.5935,-0.9632,-0.400425,-0.656113
1.6441,-0.9850,-0.451714,-1.108878
1.6957,-1.0128,-0.526699,-0.884230
1.7424,-1.0422,-0.552494,-0.615742
1.7920,-1.0721,-0.594628,-1.487817
1.8397,-1.1080,-0.726957,-2.337467
1.8813,-1.1515,-0.881094,-2.689158
1.9136,-1.1976,-1.049971,-3.794362
1.9345,-1.2443,-1.285094,-5.194389
1.9425,-1.2959,-1.578764,-5.395398
1.9337,-1.3465,-1.829531,-3.775946
1.9149,-1.4000,-1.992705,-2.868484
1.8872,-1.4500,-2.155555,-1.990194
1.8487,-1.5000,-2.236086,-1.101708
1.8087,-1.5500,-2.297073,-0.601356
1.7599,-1.6000,-2.319140,-0.032053
1.7159,-1.6500,-2.301608,0.601574
1.6703,-1.7000,-2.234964,1.212869
1.6376,-1.7500,-2.145739,1.136652
1.6055,-1.8000,-2.104200,1.019966
1.5786,-1.8500,-2.027779,0.929725
1.5546,-1.9035,-1.997096,0.147544
1.5313,-1.9541,-2.011342,-0.643592
1.5064,-2.0057,-2.070240,-1.088829
1.4776,-2.0524,-2.136475,-1.121696
1.4497,-2.0950,-2.185418,-1.536427
1.4173,-2.1379,-2.294017,-1.985868
1.3785,-2.1757,-2.403692,-1.887459
1.3385,-2.2095,-2.492816,-1.402645
1.2924,-2.2410,-2.554829,-0.609933
1.2457,-2.2712,-2.562246,-0.070647
1.1941,-2.3052,-2.563461,0.068244
1.1435,-2.3379,-2.554192,0.268875
1.0900,-2.3746,-2.529870,0.236536
1.0400,-2.4105,-2.524036,-0.177606
0.9865,-2.4481,-2.551846,-0.090315
0.9324,-2.4826,-2.535728,0.336488
0.8837,-2.5193,-2.509149,0.499608
0.8360,-2.5532,-2.475421,1.048828
0.7948,-2.5891,-2.390444,1.139117
0.7554,-2.6285,-2.350841,0.852532
0.7192,-2.6656,-2.297108,1.568972
0.6874,-2.7050,-2.190941,2.597182
0.6606,-2.7476,-2.034850,2.963342
0.6427,-2.7943,-1.901223,1.702608
0.6269,-2.8459,-1.853417,0.749679
0.6130,-2.8965,-1.820575,0.400236
0.6004,-2.9500,-1.810008,-0.093655
0.5878,-3.0000,-1.831258,0.278459
0.5737,-3.0500,-1.779911,1.325720
0.5666,-3.1000,-1.695040,0.707363
0.5612,-3.1500,-1.709715,-0.312069
0.5526,-3.2000,-1.726538,-0.396991
0.5455,-3.2500,-1.749853,-0.564777
0.5345,-3.3000,-1.783805,0.168998
0.5239,-3.3500,-1.732274,0.917965
0.5182,-3.4000,-1.691028,0.411763
0.5118,-3.4500,-1.691028,-0.411763
0.5061,-3.5000,-1.732274,-0.917965
0.4955,-3.5500,-1.783805,-0.498543
0.4845,-3.6000,-1.783805,0.168998
0.4739,-3.6500,-1.766451,0.845612
0.4647,-3.7000,-1.696822,1.285652
0.4612,-3.7500,-1.637214,0.089900
0.4580,-3.8000,-1.687905,-1.112560
0.4495,-3.8500,-1.748977,-0.345066
0.4400,-3.9000,-1.723446,0.397564
0.4341,-3.9500,-1.708827,-0.118718
0.4261,-4.0000,-1.735358,-0.260636
0.4175,-4.0500,-1.735358,-0.403985
0.4095,-4.1000,-1.776011,-0.564712
0.3967,-4.1500,-1.793295,0.214119
0.3869,-4.2000,-1.753794,0.500900
0.3781,-4.2500,-1.743024,-0.089502
0.3689,-4.3035,-1.762670,-0.567127
0.3579,-4.3541,-1.803761,-0.911945
0.3446,-4.4057,-1.859463,-1.787178
0.3287,-4.4524,-1.987345,-2.847492
0.3036,-4.4985,-2.146081,-2.908722
0.2729,-4.5385,-2.292302,-2.431353
0.2374,-4.5738,-2.384509,-2.033780
0.1981,-4.6091,-2.496934,-1.921338
0.1499,-4.6395,-2.594775,-1.234806
0.0976,-4.6703,-2.647778,-0.639440
0.0435,-4.6968,-2.673416,-0.159976
-0.0100,-4.7248,-2.666819,-0.000405
-0.0600,-4.7500,-2.673971,0.126767
-0.1100,-4.7752,-2.652575,0.270834
-0.1600,-4.8032,-2.643102,0.142685
-0.2100,-4.8297,-2.636537,0.279244
-0.2635,-4.8605,-2.610363,0.551199
-0.3141,-4.8909,-2.569696,0.751938
-0.3657,-4.9262,-2.518431,0.901039
-0.4124,-4.9615,-2.460048,1.379852
-0.4585,-5.0015,-2.356194,1.501679
-0.4985,-5.0476,-2.274865,1.116504
-0.5373,-5.0943,-2.221040,0.937682
-0.5733,-5.1459,-2.157879,1.059242
-0.6053,-5.1965,-2.089662,1.133126
-0.6327,-5.2500,-2.020715,1.393450
-0.6553,-5.3000,-1.925296,1.717291
-0.6697,-5.3500,-1.842630,0.934275
-0.6832,-5.4000,-1.830413,0.073530
-0.6963,-5.4500,-1.835056,0.288956
-0.7102,-5.5000,-1.800171,0.706175
-0.7196,-5.5500,-1.762529,0.723427
-0.7296,-5.6000,-1.726538,0.650018
-0.7353,-5.6500,-1.696822,0.481567
-0.7423,-5.7000,-1.678075,-0.128971
-0.7461,-5.7500,-1.709715,-0.536231
-0.7563,-5.8000,-1.732274,0.561220
-0.7624,-5.8500,-1.652065,1.612871
-0.7644,-5.9000,-1.570796,1.628946
-0.7624,-5.9500,-1.489528,1.263415
-0.7563,-6.0000,-1.443880,0.512319
-0.7496,-6.0500,-1.437652,0.334838
-0.7429,-6.1000,-1.410200,0.705091
-0.7334,-6.1500,-1.366449,0.348357
-0.7222,-6.2000,-1.374271,-0.046954
-0.7135,-6.2500,-1.371226,0.455899
-0.7019,-6.3000,-1.328161,0.256603
-0.6888,-6.3500,-1.344427,-0.297298
-0.6789,-6.4000,-1.358653,-0.300139
-0.6672,-6.4500,-1.375142,0.264788
-0.6591,-6.5000,-1.332002,1.079127
-0.6429,-6.5500,-1.264874,0.890610
-0.6275,-6.6000,-1.237552,0.416205
-0.6083,-6.6500,-1.220682,0.183764
-0.5910,-6.7000,-1.217890,0.456131
-0.5714,-6.7500,-1.172861,0.921674
-0.5490,-6.8000,-1.118433,0.549800
-0.5229,-6.8500,-1.110412,-0.289566
-0.4994,-6.9000,-1.151523,0.031032
-0.4783,-6.9500,-1.107149,0.777054
-0.4494,-7.0000,-1.064659,0.027247
-0.4229,-7.0500,-1.103896,-0.035441
-0.3990,-7.1000,-1.068474,0.548384
-0.3679,-7.1500,-1.041092,0.407099
-0.3404,-7.2000,-1.021113,0.280530
-0.3067,-7.2500,-1.008059,-0.049281
-0.2773,-7.3000,-1.027056,0.019851
-0.2462,-7.3500,-1.005796,0.485245
-0.2139,-7.4000,-0.970162,0.332815
-0.1777,-7.4500,-0.964640,-0.318990
-0.1446,-7.5000,-1.010328,-0.824873
-0.1149,-7.5500,-1.062239,-0.729679
-0.0889,-7.6000,-1.092774,-0.551133
-0.0631,-7.6500,-1.124307,-0.803516
-0.0410,-7.7000,-1.182901,-0.796854
