x,y,heading,curvature
0.9050,4.0950,1.570796,-26.666161
0.9050,4.1700,1.570796,-0.000000
0.9050,4.2450,1.570796,-0.000000
0.9050,4.3200,1.570796,-0.000000
0.9050,4.3950,1.570796,-0.000000
0.9050,4.4700,1.570796,-0.000000
0.9050,4.5450,1.570796,-0.000000
0.9050,4.6200,1.570796,0.235294
0.9050,4.6950,1.604874,0.466092
0.8997,4.7753,1.644111,0.177020
0.8935,4.8512,1.632691,-0.430603
0.8902,4.9286,1.575861,-1.052248
0.8928,4.9986,1.474510,-1.716393
0.9036,5.0678,1.339284,-2.178808
0.9245,5.1331,1.170128,-2.706299
0.9563,5.1921,0.973047,-3.063715
0.9995,5.2432,0.764034,-3.045906
1.0536,5.2854,0.565020,-2.642409
1.1178,5.3182,0.393803,-2.053893
1.1902,5.3421,0.258387,-1.477298
1.2685,5.3581,0.159485,-0.984447
1.3497,5.3678,0.095963,-0.544383
1.4300,5.3736,0.069816,-0.500615
1.5050,5.3786,0.017193,-0.626143
1.5800,5.3762,-0.022168,-0.388853
1.6550,5.3753,-0.041153,-0.087259
1.7300,5.3700,-0.035279,0.273997
1.8050,5.3700,0.000000,0.235294
1.8800,5.3700,0.000000,0.000000
1.9550,5.3700,0.000000,0.000000
2.0300,5.3700,0.000000,0.235294
2.1050,5.3700,0.035279,0.508852
2.1800,5.3753,0.076322,-0.047845
2.2550,5.3815,0.028047,-0.985260
2.3300,5.3795,-0.071372,-1.197441
2.4050,5.3707,-0.151765,-0.932402
2.4800,5.3566,-0.213008,-0.675994
2.5550,5.3383,-0.255809,-0.437052
2.6300,5.3173,-0.281047,-0.214022
2.7050,5.2950,-0.289380,0.000000
2.7800,5.2727,-0.281047,0.214022
2.8550,5.2517,-0.255809,0.437052
2.9300,5.2334,-0.213008,0.675994
3.0050,5.2193,-0.151765,0.932402
3.0800,5.2105,-0.071372,1.430942
3.1550,5.2085,0.063264,1.253380
3.2300,5.2200,0.117109,-0.038415
3.3050,5.2262,0.057403,-0.894507
3.3800,5.2286,-0.017193,-0.865376
3.4550,5.2236,-0.072272,-0.805123
3.5300,5.2178,-0.138031,-1.134424
3.6050,5.2028,-0.242635,-0.943643
3.6800,5.1806,-0.285635,-0.556895
3.7550,5.1587,-0.329603,-0.534036
3.8300,5.1293,-0.370323,-0.197254
3.9050,5.1005,-0.362215,0.013900
3.9853,5.0705,-0.367540,-0.199147
4.0665,5.0383,-0.396904,-0.427403
4.1448,5.0036,-0.443090,-0.694663
4.2172,4.9668,-0.518310,-1.382618
4.2761,4.9288,-0.653498,-1.917481
4.3293,4.8809,-0.781625,-1.978532
4.3754,4.8302,-0.929815,-2.387974
4.4131,4.7686,-1.117302,-2.436034
4.4369,4.7039,-1.267773,-1.482720
4.4569,4.6286,-1.336933,-0.446571
4.4733,4.5512,-1.342446,0.002721
4.4925,4.4753,-1.336826,-0.055568
4.5118,4.3897,-1.350964,-0.112340
4.5298,4.3085,-1.356683,-0.392511
4.5465,4.2302,-1.418891,-1.350820
4.5529,4.1578,-1.575269,-2.839241
4.5459,4.0936,-1.816990,-4.703792
4.5231,4.0395,-2.144667,-5.420938
4.4829,3.9963,-2.438236,-4.775984
4.4347,3.9645,-2.693428,-3.995022
4.3734,3.9436,-2.910305,-2.565177
4.3001,3.9328,-3.056161,-1.407039
4.2165,3.9302,3.137062,-0.843949
4.1353,3.9335,3.082812,-0.430518
4.0550,3.9397,3.067863,0.138229
3.9800,3.9450,3.106313,0.500563
3.9050,3.9450,3.141593,0.000000
3.8300,3.9450,3.106313,-0.273997
3.7550,3.9503,3.100439,0.321955
3.6800,3.9512,-3.128471,0.663477
3.6050,3.9483,-3.083288,0.306126
3.5300,3.9424,-3.082386,0.147037
3.4550,3.9394,-3.061223,0.618406
3.3800,3.9303,-2.989827,0.815851
3.3050,3.9165,-2.937246,0.345526
3.2300,3.8993,-2.936378,0.082089
3.1550,3.8853,-2.924697,0.412994
3.0800,3.8662,-2.873542,0.486866
3.0050,3.8441,-2.848476,0.158809
2.9300,3.8209,-2.848476,-0.158809
2.8550,3.7988,-2.873542,-0.486866
2.7800,3.7797,-2.924697,-0.193854
2.7050,3.7657,-2.902799,0.171554
2.6300,3.7432,-2.898105,-0.631454
2.5550,3.7285,-3.002674,-1.465120
2.4800,3.7222,-3.119424,-1.166558
2.4050,3.7252,3.106313,-0.569071
2.3300,3.7275,3.078329,-0.605700
2.2550,3.7347,3.015567,-0.824707
2.1800,3.7465,2.953787,-0.363250
2.1050,3.7632,2.959470,0.542312
2.0300,3.7742,3.037446,0.679630
1.9550,3.7788,3.061223,-0.020912
1.8800,3.7862,3.034314,-0.005930
1.8050,3.7950,3.060324,0.271800
1.7300,3.7985,3.075175,-0.080910
1.6550,3.8050,3.048200,-0.401938
1.5800,3.8125,3.014677,-0.681098
1.5050,3.8241,2.945798,-0.848563
1.4300,3.8423,2.884912,-0.625752
1.3550,3.8635,2.848244,-0.445455
1.2800,3.8876,2.815074,-0.397305
1.2050,3.9143,2.785280,-0.351775
1.1300,3.9434,2.758725,-2.325720
1.0550,3.9747,2.548686,-0.674807
0.9050,4.0950,2.465615,-2.191289
